carrera,n,region_de_evaluacion,nota
enfermeria,1,AMAZONAS,NA
enfermeria,2,AMAZONAS,8
enfermeria,3,AMAZONAS,7.6
enfermeria,4,AMAZONAS,7.4
enfermeria,5,AMAZONAS,9.2
enfermeria,6,AMAZONAS,8.4
enfermeria,7,AMAZONAS,9.8
enfermeria,8,AMAZONAS,7.2
enfermeria,9,AMAZONAS,9.4
enfermeria,10,AMAZONAS,10.4
enfermeria,11,AMAZONAS,7.6
enfermeria,12,AMAZONAS,10
enfermeria,13,AMAZONAS,11
enfermeria,14,AMAZONAS,6.6
enfermeria,15,AMAZONAS,8.2
enfermeria,16,AMAZONAS,11.6
enfermeria,17,AMAZONAS,6.8
enfermeria,18,AMAZONAS,11.4
enfermeria,19,AMAZONAS,9.8
enfermeria,20,AMAZONAS,9.6
enfermeria,21,AMAZONAS,9.6
enfermeria,22,AMAZONAS,6.4
enfermeria,23,AMAZONAS,9.4
enfermeria,24,AMAZONAS,8.4
enfermeria,25,AMAZONAS,8.8
enfermeria,26,AMAZONAS,8.6
enfermeria,27,AMAZONAS,8.4
enfermeria,28,AMAZONAS,7.8
enfermeria,29,AMAZONAS,8.8
enfermeria,30,AMAZONAS,8
enfermeria,31,AMAZONAS,9.4
enfermeria,32,AMAZONAS,7.8
enfermeria,33,AMAZONAS,8
enfermeria,34,AMAZONAS,8.6
enfermeria,35,AMAZONAS,8
enfermeria,36,AMAZONAS,7.6
enfermeria,37,AMAZONAS,10.2
enfermeria,38,AMAZONAS,9.6
enfermeria,39,AMAZONAS,9.4
enfermeria,40,AMAZONAS,7.6
enfermeria,41,AMAZONAS,NA
enfermeria,42,AMAZONAS,7
enfermeria,43,AMAZONAS,9.2
enfermeria,44,AMAZONAS,7
enfermeria,45,AMAZONAS,6.2
enfermeria,46,AMAZONAS,10
enfermeria,47,AMAZONAS,6.6
enfermeria,48,AMAZONAS,8.8
enfermeria,49,AMAZONAS,8.2
enfermeria,50,AMAZONAS,10.8
enfermeria,51,AMAZONAS,8.8
enfermeria,52,AMAZONAS,NA
enfermeria,53,AMAZONAS,10.2
enfermeria,54,AMAZONAS,9.8
enfermeria,55,AMAZONAS,9.8
enfermeria,56,AMAZONAS,8.4
enfermeria,57,AMAZONAS,9.4
enfermeria,58,AMAZONAS,8.4
enfermeria,59,AMAZONAS,9.4
enfermeria,60,AMAZONAS,9.2
enfermeria,61,AMAZONAS,8.4
enfermeria,62,AMAZONAS,9
enfermeria,63,AMAZONAS,2.4
enfermeria,64,ANCASH,5
enfermeria,65,ANCASH,6
enfermeria,66,ANCASH,8.8
enfermeria,67,ANCASH,10.8
enfermeria,68,ANCASH,10.4
enfermeria,69,ANCASH,NA
enfermeria,70,ANCASH,9.6
enfermeria,71,ANCASH,7.6
enfermeria,72,ANCASH,6.8
enfermeria,73,ANCASH,NA
enfermeria,74,ANCASH,10.4
enfermeria,75,ANCASH,7.8
enfermeria,76,ANCASH,NA
enfermeria,77,ANCASH,7
enfermeria,78,ANCASH,7
enfermeria,79,ANCASH,NA
enfermeria,80,ANCASH,9.8
enfermeria,81,ANCASH,7.4
enfermeria,82,ANCASH,7.2
enfermeria,83,ANCASH,NA
enfermeria,84,ANCASH,9
enfermeria,85,ANCASH,NA
enfermeria,86,ANCASH,6
enfermeria,87,ANCASH,8.8
enfermeria,88,ANCASH,10
enfermeria,89,ANCASH,4.4
enfermeria,90,ANCASH,8.4
enfermeria,91,ANCASH,7
enfermeria,92,ANCASH,8.6
enfermeria,93,ANCASH,8
enfermeria,94,ANCASH,10.6
enfermeria,95,ANCASH,7.6
enfermeria,96,ANCASH,9.2
enfermeria,97,ANCASH,8
enfermeria,98,ANCASH,9.2
enfermeria,99,ANCASH,9.6
enfermeria,100,ANCASH,7
enfermeria,101,ANCASH,10.6
enfermeria,102,ANCASH,6.8
enfermeria,103,ANCASH,9.4
enfermeria,104,ANCASH,8.4
enfermeria,105,ANCASH,10.4
enfermeria,106,ANCASH,7.8
enfermeria,107,ANCASH,9.2
enfermeria,108,ANCASH,11.4
enfermeria,109,ANCASH,8.4
enfermeria,110,ANCASH,7.2
enfermeria,111,ANCASH,6.8
enfermeria,112,ANCASH,NA
enfermeria,113,ANCASH,10.4
enfermeria,114,ANCASH,NA
enfermeria,115,ANCASH,NA
enfermeria,116,ANCASH,10.8
enfermeria,117,ANCASH,10
