carrera,n,region_de_evaluacion,nota
medicina,1,AMAZONAS,12
medicina,2,AMAZONAS,11.2
medicina,3,AMAZONAS,10.6
medicina,4,AMAZONAS,11.4
medicina,5,AMAZONAS,10.6
medicina,6,AMAZONAS,9.6
medicina,7,AMAZONAS,8
medicina,8,AMAZONAS,12.8
medicina,9,AMAZONAS,10
medicina,10,ANCASH,12.6
medicina,11,ANCASH,NA
medicina,12,ANCASH,10.2
medicina,13,ANCASH,12.8
medicina,14,ANCASH,10.6
medicina,15,ANCASH,10.6
medicina,16,ANCASH,11
medicina,17,ANCASH,13
medicina,18,ANCASH,9.6
medicina,19,ANCASH,NA
medicina,20,ANCASH,11.4
medicina,21,ANCASH,7.8
medicina,22,ANCASH,10.4
medicina,23,ANCASH,NA
medicina,24,ANCASH,10.4
medicina,25,ANCASH,11.4
medicina,26,ANCASH,11
medicina,27,ANCASH,8.8
medicina,28,ANCASH,9.6
medicina,29,ANCASH,8.8
medicina,30,ANCASH,11.2
medicina,31,ANCASH,12.4
medicina,32,ANCASH,10.2
medicina,33,ANCASH,10.2
medicina,34,ANCASH,9
medicina,35,ANCASH,10.2
medicina,36,ANCASH,11.2
medicina,37,ANCASH,10.8
medicina,38,ANCASH,12.2
medicina,39,ANCASH,10.2
medicina,40,ANCASH,9.8
medicina,41,ANCASH,10
medicina,42,ANCASH,12.6
medicina,43,ANCASH,10.4
medicina,44,ANCASH,10
medicina,45,ANCASH,12.8
medicina,46,ANCASH,12.2
medicina,47,ANCASH,10
medicina,48,ANCASH,10.2
medicina,49,ANCASH,10.6
medicina,50,ANCASH,10.4
medicina,51,ANCASH,12
medicina,52,ANCASH,9.6
medicina,53,ANCASH,10.6
medicina,54,ANCASH,10.8
medicina,55,APURIMAC,10.4
medicina,56,APURIMAC,8.8
medicina,57,APURIMAC,9.4
medicina,58,APURIMAC,8.8
medicina,59,APURIMAC,11.2
medicina,60,APURIMAC,10.2
medicina,61,APURIMAC,9
medicina,62,APURIMAC,7.4
