carrera,n,region_de_evaluacion,nota
nutricion,1,AMAZONAS,8.6
nutricion,2,AMAZONAS,8.4
nutricion,3,ANCASH,9.6
nutricion,4,ANCASH,10
nutricion,5,APURIMAC,9.4
nutricion,6,APURIMAC,11
nutricion,7,APURIMAC,9.8
nutricion,8,APURIMAC,10
nutricion,9,APURIMAC,NA
nutricion,10,AREQUIPA,10.8
nutricion,11,AREQUIPA,9.6
nutricion,12,AREQUIPA,10.4
nutricion,13,AREQUIPA,7
nutricion,14,AREQUIPA,11
nutricion,15,AREQUIPA,9.8
nutricion,16,AREQUIPA,10.4
nutricion,17,AREQUIPA,9.8
nutricion,18,AREQUIPA,10.8
nutricion,19,AREQUIPA,10
nutricion,20,AREQUIPA,12
nutricion,21,AREQUIPA,10.6
nutricion,22,AREQUIPA,10.6
nutricion,23,AREQUIPA,10.2
nutricion,24,AREQUIPA,8.4
nutricion,25,AREQUIPA,12.2
nutricion,26,AREQUIPA,9.4
nutricion,27,AREQUIPA,9.8
nutricion,28,AREQUIPA,NA
nutricion,29,AREQUIPA,9.6
nutricion,30,AREQUIPA,9.6
nutricion,31,AREQUIPA,8.8
nutricion,32,AREQUIPA,NA
nutricion,33,AREQUIPA,9
nutricion,34,AREQUIPA,10
nutricion,35,AREQUIPA,9.8
nutricion,36,AREQUIPA,10.4
nutricion,37,AYACUCHO,11.8
nutricion,38,AYACUCHO,NA
nutricion,39,AYACUCHO,8.2
nutricion,40,AYACUCHO,9.8
nutricion,41,AYACUCHO,7.2
nutricion,42,AYACUCHO,9.8
nutricion,43,CAJAMARCA,NA
nutricion,44,CAJAMARCA,8.8
nutricion,45,CAJAMARCA,NA
nutricion,46,CALLAO,11.2
nutricion,47,CALLAO,10
nutricion,48,CALLAO,8.8
nutricion,49,CALLAO,8.8
nutricion,50,CALLAO,8.8
nutricion,51,CALLAO,8.8
nutricion,52,CUSCO,9
nutricion,53,CUSCO,12
nutricion,54,CUSCO,8
nutricion,55,CUSCO,8.2
nutricion,56,CUSCO,9.6
nutricion,57,HUANCAVELICA,12.6
nutricion,58,HUANUCO,10.4
nutricion,59,HUANUCO,9
nutricion,60,ICA,10.2
nutricion,61,JUNIN,10.2
nutricion,62,JUNIN,12.6
nutricion,63,JUNIN,11.2
nutricion,64,JUNIN,10.6
nutricion,65,JUNIN,12.4
nutricion,66,JUNIN,9.8
nutricion,67,JUNIN,13
nutricion,68,JUNIN,8.2
nutricion,69,JUNIN,10.6
nutricion,70,JUNIN,9.6
nutricion,71,JUNIN,10.6
nutricion,72,JUNIN,13.4
nutricion,73,JUNIN,13.4
nutricion,74,JUNIN,9
nutricion,75,JUNIN,9.2
nutricion,76,LA LIBERTAD,9.6
nutricion,77,LA LIBERTAD,8.6
nutricion,78,LA LIBERTAD,NA
nutricion,79,LA LIBERTAD,8.4
nutricion,80,LA LIBERTAD,NA
nutricion,81,LA LIBERTAD,11.4
nutricion,82,LA LIBERTAD,10.2
nutricion,83,LA LIBERTAD,NA
nutricion,84,LA LIBERTAD,NA
nutricion,85,LA LIBERTAD,10.2
nutricion,86,LA LIBERTAD,8.8
nutricion,87,LA LIBERTAD,8.8
nutricion,88,LA LIBERTAD,8.6
nutricion,89,LA LIBERTAD,9.4
nutricion,90,LA LIBERTAD,NA
nutricion,91,LA LIBERTAD,9.8
nutricion,92,LA LIBERTAD,NA
nutricion,93,LA LIBERTAD,9.2
nutricion,94,LA LIBERTAD,NA
nutricion,95,LA LIBERTAD,NA
nutricion,96,LA LIBERTAD,NA
