carrera,n,region_de_evaluacion,nota
obstetricia,1,ANCASH,NA
obstetricia,2,ANCASH,10.8
obstetricia,3,ANCASH,NA
obstetricia,4,ANCASH,10.6
obstetricia,5,ANCASH,11.4
obstetricia,6,ANCASH,10
obstetricia,7,ANCASH,8.4
obstetricia,8,ANCASH,8.4
obstetricia,9,ANCASH,8.8
obstetricia,10,ANCASH,10.4
obstetricia,11,ANCASH,9.8
obstetricia,12,ANCASH,NA
obstetricia,13,ANCASH,8
obstetricia,14,ANCASH,8.6
obstetricia,15,ANCASH,8
obstetricia,16,ANCASH,9.2
obstetricia,17,ANCASH,9.6
obstetricia,18,ANCASH,9.8
obstetricia,19,ANCASH,11.6
obstetricia,20,ANCASH,10.4
obstetricia,21,ANCASH,9.2
obstetricia,22,ANCASH,10.4
obstetricia,23,ANCASH,8
obstetricia,24,ANCASH,NA
obstetricia,25,ANCASH,9.4
obstetricia,26,ANCASH,8.8
obstetricia,27,ANCASH,NA
obstetricia,28,ANCASH,NA
obstetricia,29,ANCASH,7.6
obstetricia,30,ANCASH,9.2
obstetricia,31,ANCASH,12.6
obstetricia,32,APURIMAC,10.2
obstetricia,33,APURIMAC,9.8
obstetricia,34,APURIMAC,10.2
obstetricia,35,APURIMAC,11.4
obstetricia,36,APURIMAC,10.6
obstetricia,37,APURIMAC,12.8
obstetricia,38,APURIMAC,11.6
obstetricia,39,APURIMAC,10.4
obstetricia,40,APURIMAC,9
obstetricia,41,APURIMAC,8.4
obstetricia,42,APURIMAC,8.6
obstetricia,43,APURIMAC,10.8
obstetricia,44,APURIMAC,11.8
obstetricia,45,APURIMAC,9.6
obstetricia,46,APURIMAC,6
obstetricia,47,APURIMAC,9.8
obstetricia,48,APURIMAC,9.2
obstetricia,49,APURIMAC,11.2
obstetricia,50,APURIMAC,9.2
obstetricia,51,AREQUIPA,12.2
obstetricia,52,AREQUIPA,11.4
obstetricia,53,AREQUIPA,10.4
obstetricia,54,AREQUIPA,8.2
obstetricia,55,AREQUIPA,8.8
obstetricia,56,AREQUIPA,7.6
obstetricia,57,AREQUIPA,8.6
obstetricia,58,AREQUIPA,10.4
obstetricia,59,AREQUIPA,14.2
obstetricia,60,AREQUIPA,8.2
obstetricia,61,AREQUIPA,10
obstetricia,62,AREQUIPA,8.6
obstetricia,63,AREQUIPA,8.2
obstetricia,64,AREQUIPA,NA
obstetricia,65,AREQUIPA,10.2
obstetricia,66,AREQUIPA,11.6
obstetricia,67,AREQUIPA,11.2
obstetricia,68,AREQUIPA,10
obstetricia,69,AREQUIPA,10.2
obstetricia,70,AREQUIPA,11.8
obstetricia,71,AREQUIPA,NA
obstetricia,72,AREQUIPA,8.6
obstetricia,73,AYACUCHO,10.8
obstetricia,74,AYACUCHO,12
obstetricia,75,AYACUCHO,10.2
obstetricia,76,AYACUCHO,12.8
obstetricia,77,AYACUCHO,10
obstetricia,78,AYACUCHO,9
obstetricia,79,AYACUCHO,10.8
obstetricia,80,AYACUCHO,8
obstetricia,81,AYACUCHO,8.8
obstetricia,82,AYACUCHO,11.4
obstetricia,83,AYACUCHO,12.4
obstetricia,84,AYACUCHO,11.6
obstetricia,85,AYACUCHO,8.8
obstetricia,86,AYACUCHO,10.8
obstetricia,87,AYACUCHO,12.2
obstetricia,88,AYACUCHO,9.6
obstetricia,89,AYACUCHO,10.6
obstetricia,90,AYACUCHO,9.8
obstetricia,91,AYACUCHO,9.8
obstetricia,92,AYACUCHO,NA
obstetricia,93,AYACUCHO,9.4
obstetricia,94,AYACUCHO,10.4
obstetricia,95,AYACUCHO,9.8
obstetricia,96,AYACUCHO,9.8
obstetricia,97,AYACUCHO,8.6
obstetricia,98,AYACUCHO,8.8
obstetricia,99,AYACUCHO,10
obstetricia,100,AYACUCHO,10.6
obstetricia,101,AYACUCHO,8
obstetricia,102,AYACUCHO,9.2
obstetricia,103,AYACUCHO,8.8
obstetricia,104,AYACUCHO,10.2
obstetricia,105,AYACUCHO,5
obstetricia,106,AYACUCHO,10.2
obstetricia,107,AYACUCHO,9.8
obstetricia,108,AYACUCHO,7.6
obstetricia,109,AYACUCHO,10.4
obstetricia,110,AYACUCHO,8
obstetricia,111,AYACUCHO,10.2
obstetricia,112,AYACUCHO,11.4
obstetricia,113,CAJAMARCA,11.2
obstetricia,114,CAJAMARCA,9.6
obstetricia,115,CAJAMARCA,6.6
obstetricia,116,CAJAMARCA,7.2
obstetricia,117,CAJAMARCA,8.6
obstetricia,118,CAJAMARCA,9
obstetricia,119,CAJAMARCA,7.2
obstetricia,120,CAJAMARCA,12.6
obstetricia,121,CAJAMARCA,11.4
obstetricia,122,CAJAMARCA,6.6
obstetricia,123,CALLAO,8.8
obstetricia,124,CALLAO,11.6
obstetricia,125,CALLAO,8.8
obstetricia,126,CALLAO,10.6
obstetricia,127,CALLAO,12.2
obstetricia,128,CALLAO,11
obstetricia,129,CALLAO,9.6
obstetricia,130,CALLAO,10.4
obstetricia,131,CALLAO,9.4
obstetricia,132,CALLAO,NA
obstetricia,133,CALLAO,9.8
obstetricia,134,CALLAO,9.6
obstetricia,135,CALLAO,11
obstetricia,136,CALLAO,10
obstetricia,137,CALLAO,11.6
obstetricia,138,CALLAO,12
obstetricia,139,CUSCO,9.8
obstetricia,140,CUSCO,12.8
obstetricia,141,CUSCO,11.6
obstetricia,142,CUSCO,10.2
obstetricia,143,CUSCO,9.8
obstetricia,144,CUSCO,13.2
obstetricia,145,CUSCO,10
obstetricia,146,CUSCO,7.2
obstetricia,147,CUSCO,12
obstetricia,148,CUSCO,10.2
obstetricia,149,CUSCO,10
obstetricia,150,CUSCO,8.4
obstetricia,151,CUSCO,10.2
obstetricia,152,CUSCO,9.4
obstetricia,153,CUSCO,8.8
obstetricia,154,CUSCO,12.6
obstetricia,155,CUSCO,NA
obstetricia,156,CUSCO,8.8
obstetricia,157,CUSCO,9.8
obstetricia,158,CUSCO,9.4
obstetricia,159,CUSCO,10.4
obstetricia,160,CUSCO,NA
obstetricia,161,CUSCO,8.8
obstetricia,162,HUANCAVELICA,7.2
obstetricia,163,HUANCAVELICA,8.6
obstetricia,164,HUANCAVELICA,9.4
obstetricia,165,HUANCAVELICA,10
obstetricia,166,HUANCAVELICA,9.4
obstetricia,167,HUANCAVELICA,9.6
obstetricia,168,HUANCAVELICA,9.6
obstetricia,169,HUANCAVELICA,10
obstetricia,170,HUANCAVELICA,8.6
obstetricia,171,HUANCAVELICA,8.8
obstetricia,172,HUANCAVELICA,9.6
obstetricia,173,HUANCAVELICA,10.2
obstetricia,174,HUANCAVELICA,11
obstetricia,175,HUANUCO,7.8
obstetricia,176,HUANUCO,10.2
obstetricia,177,HUANUCO,NA
obstetricia,178,HUANUCO,8.4
obstetricia,179,HUANUCO,10.4
