carrera,n,region_de_evaluacion,nota
odontologia,1,AMAZONAS,9.4
odontologia,2,AMAZONAS,11
odontologia,3,AMAZONAS,11.8
odontologia,4,AMAZONAS,10.4
odontologia,5,AMAZONAS,9.2
odontologia,6,AMAZONAS,10.6
odontologia,7,AMAZONAS,9
odontologia,8,AMAZONAS,10
odontologia,9,AMAZONAS,11.2
odontologia,10,AMAZONAS,10.6
odontologia,11,AMAZONAS,9.2
odontologia,12,AMAZONAS,7.4
odontologia,13,AMAZONAS,7.4
odontologia,14,AMAZONAS,9.4
odontologia,15,AMAZONAS,11.4
odontologia,16,AMAZONAS,11
odontologia,17,AMAZONAS,11
odontologia,18,AMAZONAS,9.8
odontologia,19,AMAZONAS,10
odontologia,20,AMAZONAS,11.2
odontologia,21,AMAZONAS,7.8
odontologia,22,ANCASH,13
odontologia,23,ANCASH,8.8
odontologia,24,ANCASH,8
odontologia,25,ANCASH,9.2
odontologia,26,ANCASH,8.6
odontologia,27,ANCASH,9.8
odontologia,28,ANCASH,10.6
odontologia,29,ANCASH,9
odontologia,30,ANCASH,NA
odontologia,31,ANCASH,10.8
odontologia,32,ANCASH,8.8
odontologia,33,ANCASH,12.6
odontologia,34,ANCASH,10.4
odontologia,35,ANCASH,11
odontologia,36,ANCASH,10
odontologia,37,ANCASH,10.4
odontologia,38,ANCASH,9.2
odontologia,39,ANCASH,10.6
odontologia,40,ANCASH,NA
odontologia,41,ANCASH,10.8
odontologia,42,ANCASH,NA
odontologia,43,ANCASH,10.8
odontologia,44,ANCASH,NA
odontologia,45,ANCASH,8.4
odontologia,46,ANCASH,NA
odontologia,47,ANCASH,NA
odontologia,48,ANCASH,NA
odontologia,49,ANCASH,NA
odontologia,50,ANCASH,12.4
odontologia,51,ANCASH,7
odontologia,52,ANCASH,9
odontologia,53,ANCASH,10.8
odontologia,54,ANCASH,9.4
odontologia,55,ANCASH,5.4
odontologia,56,ANCASH,10
odontologia,57,ANCASH,9.8
odontologia,58,ANCASH,7.6
odontologia,59,ANCASH,11.2
odontologia,60,ANCASH,10.6
odontologia,61,ANCASH,NA
odontologia,62,ANCASH,10.4
odontologia,63,ANCASH,NA
odontologia,64,ANCASH,7.8
odontologia,65,ANCASH,10
odontologia,66,ANCASH,9.4
odontologia,67,ANCASH,NA
odontologia,68,ANCASH,8
odontologia,69,ANCASH,NA
odontologia,70,ANCASH,9.2
odontologia,71,ANCASH,9
odontologia,72,ANCASH,10
odontologia,73,ANCASH,11
odontologia,74,ANCASH,8.8
odontologia,75,ANCASH,8
odontologia,76,ANCASH,10.8
odontologia,77,ANCASH,8.8
odontologia,78,ANCASH,12.4
odontologia,79,ANCASH,10.2
odontologia,80,ANCASH,7.6
odontologia,81,ANCASH,NA
odontologia,82,ANCASH,11.2
odontologia,83,ANCASH,NA
odontologia,84,ANCASH,NA
odontologia,85,ANCASH,11.2
odontologia,86,ANCASH,8.4
odontologia,87,ANCASH,4.8
odontologia,88,ANCASH,NA
odontologia,89,ANCASH,NA
odontologia,90,ANCASH,10
odontologia,91,ANCASH,NA
odontologia,92,ANCASH,9.4
odontologia,93,ANCASH,8.6
odontologia,94,ANCASH,8
odontologia,95,ANCASH,NA
odontologia,96,ANCASH,10.2
odontologia,97,ANCASH,10.2
odontologia,98,ANCASH,9.6
odontologia,99,ANCASH,7.4
odontologia,100,ANCASH,7.8
odontologia,101,ANCASH,10.2
odontologia,102,APURIMAC,8
odontologia,103,APURIMAC,10.4
odontologia,104,APURIMAC,NA
odontologia,105,APURIMAC,10.6
odontologia,106,APURIMAC,8.4
odontologia,107,APURIMAC,8.6
odontologia,108,APURIMAC,9.4
odontologia,109,APURIMAC,11.6
odontologia,110,APURIMAC,9.8
odontologia,111,APURIMAC,9.2
odontologia,112,APURIMAC,9.8
odontologia,113,APURIMAC,10.6
odontologia,114,APURIMAC,9
odontologia,115,APURIMAC,11
odontologia,116,APURIMAC,8.6
odontologia,117,APURIMAC,10.8
odontologia,118,APURIMAC,9
odontologia,119,APURIMAC,11
odontologia,120,APURIMAC,11
odontologia,121,APURIMAC,NA
odontologia,122,APURIMAC,10.2
odontologia,123,APURIMAC,9.2
odontologia,124,APURIMAC,12.4
odontologia,125,APURIMAC,8.6
odontologia,126,APURIMAC,11.8
odontologia,127,APURIMAC,NA
odontologia,128,APURIMAC,10.4
odontologia,129,APURIMAC,11
odontologia,130,APURIMAC,9.4
odontologia,131,APURIMAC,8.2
odontologia,132,APURIMAC,10
odontologia,133,APURIMAC,10
odontologia,134,APURIMAC,10.8
odontologia,135,APURIMAC,9
odontologia,136,APURIMAC,9.6
odontologia,137,APURIMAC,4.6
odontologia,138,APURIMAC,NA
odontologia,139,APURIMAC,8.2
odontologia,140,APURIMAC,9.4
odontologia,141,APURIMAC,10.4
odontologia,142,APURIMAC,9.4
odontologia,143,APURIMAC,8.4
odontologia,144,APURIMAC,10.6
odontologia,145,APURIMAC,9.6
odontologia,146,APURIMAC,6.4
odontologia,147,APURIMAC,10.8
odontologia,148,APURIMAC,11.8
odontologia,149,APURIMAC,9
odontologia,150,APURIMAC,9.4
odontologia,151,APURIMAC,7.8
odontologia,152,APURIMAC,11.2
odontologia,153,APURIMAC,8.4
odontologia,154,APURIMAC,8
odontologia,155,APURIMAC,10.4
odontologia,156,APURIMAC,8.4
odontologia,157,APURIMAC,11.4
odontologia,158,APURIMAC,6
odontologia,159,APURIMAC,9.2
odontologia,160,APURIMAC,12
odontologia,161,APURIMAC,8.6
odontologia,162,APURIMAC,10.8
odontologia,163,APURIMAC,12.2
odontologia,164,APURIMAC,NA
odontologia,165,APURIMAC,NA
odontologia,166,APURIMAC,NA
odontologia,167,APURIMAC,4.8
odontologia,168,APURIMAC,5.8
odontologia,169,APURIMAC,11.8
odontologia,170,APURIMAC,7.2
odontologia,171,APURIMAC,6.4
odontologia,172,APURIMAC,8.6
odontologia,173,APURIMAC,11.4
odontologia,174,APURIMAC,8
odontologia,175,APURIMAC,10.6
odontologia,176,APURIMAC,6.8
odontologia,177,APURIMAC,11.4
odontologia,178,APURIMAC,8.8
odontologia,179,APURIMAC,12.2
odontologia,180,APURIMAC,8.6
odontologia,181,APURIMAC,7.2
odontologia,182,APURIMAC,8.4
odontologia,183,APURIMAC,9.4
odontologia,184,APURIMAC,9.8
odontologia,185,APURIMAC,7.6
odontologia,186,APURIMAC,12.4
odontologia,187,APURIMAC,8.6
odontologia,188,APURIMAC,6.6
odontologia,189,APURIMAC,13
odontologia,190,APURIMAC,9.8
odontologia,191,APURIMAC,9.8
odontologia,192,APURIMAC,11.8
odontologia,193,APURIMAC,9.2
odontologia,194,APURIMAC,10.8
odontologia,195,APURIMAC,7
odontologia,196,APURIMAC,9
odontologia,197,APURIMAC,8.4
odontologia,198,APURIMAC,9.4
odontologia,199,APURIMAC,7.8
odontologia,200,APURIMAC,10
odontologia,201,APURIMAC,9.8
odontologia,202,APURIMAC,10.6
odontologia,203,APURIMAC,8.2
odontologia,204,APURIMAC,10
odontologia,205,APURIMAC,8.4
odontologia,206,APURIMAC,10.2
odontologia,207,APURIMAC,11.2
odontologia,208,APURIMAC,5.8
