carrera,n,region_de_evaluacion,nota
quimico-farmaceutico,1,AMAZONAS,10
quimico-farmaceutico,2,AMAZONAS,8
quimico-farmaceutico,3,AMAZONAS,NA
quimico-farmaceutico,4,AMAZONAS,9
quimico-farmaceutico,5,AMAZONAS,12
quimico-farmaceutico,6,AMAZONAS,9.8
quimico-farmaceutico,7,AMAZONAS,10.6
quimico-farmaceutico,8,AMAZONAS,9.6
quimico-farmaceutico,9,ANCASH,8.8
quimico-farmaceutico,10,ANCASH,10
quimico-farmaceutico,11,ANCASH,9.6
quimico-farmaceutico,12,ANCASH,9
quimico-farmaceutico,13,ANCASH,10
quimico-farmaceutico,14,ANCASH,10.4
quimico-farmaceutico,15,ANCASH,9.6
quimico-farmaceutico,16,ANCASH,10
quimico-farmaceutico,17,ANCASH,11.8
quimico-farmaceutico,18,ANCASH,12.6
quimico-farmaceutico,19,ANCASH,11.4
quimico-farmaceutico,20,ANCASH,7.6
quimico-farmaceutico,21,ANCASH,NA
quimico-farmaceutico,22,ANCASH,NA
quimico-farmaceutico,23,ANCASH,NA
quimico-farmaceutico,24,ANCASH,10.4
quimico-farmaceutico,25,ANCASH,4.8
quimico-farmaceutico,26,ANCASH,10.4
quimico-farmaceutico,27,ANCASH,NA
quimico-farmaceutico,28,ANCASH,NA
quimico-farmaceutico,29,ANCASH,5
quimico-farmaceutico,30,ANCASH,NA
quimico-farmaceutico,31,ANCASH,9.8
quimico-farmaceutico,32,ANCASH,6.8
quimico-farmaceutico,33,ANCASH,10
quimico-farmaceutico,34,ANCASH,11.6
quimico-farmaceutico,35,ANCASH,10
quimico-farmaceutico,36,ANCASH,9.4
quimico-farmaceutico,37,ANCASH,9.8
quimico-farmaceutico,38,ANCASH,NA
quimico-farmaceutico,39,ANCASH,11.2
quimico-farmaceutico,40,ANCASH,8.4
quimico-farmaceutico,41,ANCASH,NA
quimico-farmaceutico,42,ANCASH,NA
quimico-farmaceutico,43,ANCASH,8
quimico-farmaceutico,44,ANCASH,NA
quimico-farmaceutico,45,ANCASH,11.8
quimico-farmaceutico,46,ANCASH,6.8
quimico-farmaceutico,47,ANCASH,9.4
quimico-farmaceutico,48,ANCASH,8.6
quimico-farmaceutico,49,ANCASH,10.8
quimico-farmaceutico,50,ANCASH,NA
quimico-farmaceutico,51,ANCASH,8.2
quimico-farmaceutico,52,ANCASH,9.2
quimico-farmaceutico,53,ANCASH,8.4
quimico-farmaceutico,54,ANCASH,8.4
quimico-farmaceutico,55,ANCASH,8.8
quimico-farmaceutico,56,ANCASH,8.6
quimico-farmaceutico,57,ANCASH,7
quimico-farmaceutico,58,ANCASH,8.8
quimico-farmaceutico,59,ANCASH,12.2
quimico-farmaceutico,60,ANCASH,8.2
quimico-farmaceutico,61,ANCASH,6.8
quimico-farmaceutico,62,ANCASH,NA
quimico-farmaceutico,63,ANCASH,9.4
quimico-farmaceutico,64,ANCASH,10.4
quimico-farmaceutico,65,ANCASH,8.4
quimico-farmaceutico,66,ANCASH,9.6
quimico-farmaceutico,67,ANCASH,8.8
quimico-farmaceutico,68,ANCASH,10.8
quimico-farmaceutico,69,ANCASH,9.6
quimico-farmaceutico,70,ANCASH,10.6
quimico-farmaceutico,71,ANCASH,9.2
quimico-farmaceutico,72,ANCASH,8.6
quimico-farmaceutico,73,ANCASH,5
quimico-farmaceutico,74,ANCASH,9.6
quimico-farmaceutico,75,ANCASH,4.8
quimico-farmaceutico,76,ANCASH,NA
quimico-farmaceutico,77,ANCASH,9.4
quimico-farmaceutico,78,ANCASH,8
quimico-farmaceutico,79,ANCASH,8
quimico-farmaceutico,80,ANCASH,11.2
quimico-farmaceutico,81,ANCASH,10.6
quimico-farmaceutico,82,ANCASH,5.4
quimico-farmaceutico,83,ANCASH,NA
quimico-farmaceutico,84,ANCASH,10.8
quimico-farmaceutico,85,ANCASH,8.2
quimico-farmaceutico,86,ANCASH,10.8
quimico-farmaceutico,87,ANCASH,NA
quimico-farmaceutico,88,ANCASH,11.6
quimico-farmaceutico,89,ANCASH,NA
quimico-farmaceutico,90,ANCASH,12.2
quimico-farmaceutico,91,ANCASH,NA
quimico-farmaceutico,92,ANCASH,11
quimico-farmaceutico,93,ANCASH,10
quimico-farmaceutico,94,ANCASH,9
quimico-farmaceutico,95,ANCASH,9
quimico-farmaceutico,96,ANCASH,9.2
quimico-farmaceutico,97,ANCASH,9
quimico-farmaceutico,98,ANCASH,9.4
quimico-farmaceutico,99,ANCASH,10
quimico-farmaceutico,100,ANCASH,10
quimico-farmaceutico,101,ANCASH,NA
quimico-farmaceutico,102,ANCASH,NA
quimico-farmaceutico,103,ANCASH,10.8
quimico-farmaceutico,104,ANCASH,NA
quimico-farmaceutico,105,ANCASH,7.6
quimico-farmaceutico,106,APURIMAC,11.2
quimico-farmaceutico,107,APURIMAC,9.8
quimico-farmaceutico,108,APURIMAC,9.6
